id,category_id,question_code,question_number,question_text,check_box,max_select,block_number,block_text,option_select,option_code,option_text,response_message,companion_advice,tone_tag,next_question_id,version
1,1,1_1,1,"“Status: undefined, but not unloved.”
Not all love lives are loud.
Some are still forming, healing, daydreaming, or blooming when no one’s watching.
What’s yours trying to say right now?

If your love life had a status update, what would it say?",FALSE,,1,Do They Like Me?,A,1_1_A,"A. Unpaired. Unbothered. Still in orbit.
","A. Some people search. You radiate.
If someone gets pulled in—it’s not luck. It’s gravity.
","🪐 You’re the whole planet.
Not a moon. Not a satellite.
Just spinning your own story till someone’s worth the ride.",,,1
2,1,1_1,1,"If your love life had a status update, what would it say?",FALSE,NULL,1,Do They Like Me?,B,1_1_B,B. Pairing mode on. Still blinking …,"B. 🔎 It’s okay if no one’s synced yet. Some Bluetooths just take a sec.
(W for curiosity without clutching.)","Ever notice how devices pair faster when both sides are ready?
Same with people. Your job isn’t to chase—it’s to stay clear, kind, and open.
The right signal will find you.",,,1
3,1,1_1,1,"If your love life had a status update, what would it say?",FALSE,NULL,1,Do They Like Me?,C,1_1_C,C. Connected. Kinda laggy. But we’re updating.,"C. 📶 Loving while buffering? That’s a real skill.
You're allowed to be in it and fixing it.
(W for troubleshooting love in real time.)",💞 You don’t have to define it right away. Just stay present.,,,1
4,1,1_1,1,"If your love life had a status update, what would it say?",FALSE,NULL,1,Do They Like Me?,D,1_1_D,D. Patch notes dropping soon. Heart.exe rebooting.,D. Healing isn’t a pause. It’s a power move.,🛠 Take your time. Love isn’t the goal—knowing yourself is.,,,1
5,1,1_1,1,"If your love life had a status update, what would it say?",FALSE,NULL,1,Do They Like Me?,OTHER,1_1_OTHER,Write your own,,,,,1
6,1,1_2,2,What kind of love do you believe in?,FALSE,,2,"Small Moves, Big Feels
[playlist:Love]",A,1_2_A,A. Quiet and safe.,A. You believe in love that doesn’t need to perform. The kind that sits beside you in silence and still feels warm.,Safety in love doesn’t mean nothing happens—it means nothing hurts you in secret. Keep looking for the kind of love that holds still and stays true.,Love Belief,,1
7,1,1_2,2,What kind of love do you believe in?,FALSE,NULL,2,"Small Moves, Big Feels
[playlist:Love]",B,1_2_B,B. Slow and real.,"B. You believe in love that isn’t rushed. It takes time, trust, and mutual respect—not fireworks, but something you can actually count on.",Love isn’t luck. It’s built choice by choice. And the kind that respects your independence and roots itself in honesty? That’s the kind that lasts.,Love Belief,,1
8,1,1_2,2,What kind of love do you believe in?,FALSE,NULL,2,"Small Moves, Big Feels
[playlist:Love]",C,1_2_C,C. Laughs even when it’s hard.,"C. You believe in love that knows how to lift. The kind that survives through joy, inside jokes, and not taking everything so seriously.",Laughter isn’t the opposite of depth—it’s the doorway to it. Keep believing in the kind of love that makes the hard parts feel a little lighter.,Love Belief,,1
9,1,1_2,2,What kind of love do you believe in?,FALSE,NULL,2,"Small Moves, Big Feels
[playlist:Love]",OTHER,1_2_OTHER,Other,,,,,1
10,1,1_3,3,"Real safety isn’t just about avoiding harm—it’s about feeling free to be yourself.
You deserve people who don’t just like you—but protect your peace.
What makes you feel safe with someone?",TRUE,,3,Kind of a Couple,A,1_3_A,A. They don’t pressure me. Period.,"A. You feel safe when your “no” is respected—immediately, and without guilt. It’s not just about rules—it’s about feeling like you’re in control of your own body, time, and value.","Pressure doesn’t always sound loud. Sometimes it hides in guilt or silence. But you’re allowed to pause, say no, or change your mind—at any time. That’s real safety.",Emotional Safety,,1
11,1,1_3,3,What makes you feel safe with someone?,TRUE,NULL,3,Kind of a Couple,B,1_3_B,B. I can say real stuff—and they actually hear it.,"B. You feel safe when someone lets you speak without trying to fix you, defend themselves, or shut it down. That kind of listening builds real trust.",A good listener doesn’t just hear your words—they make space for your feelings. You don’t need someone who’s perfect. You need someone who stays kind when it matters.,Emotional Safety,,1
12,1,1_3,3,What makes you feel safe with someone?,TRUE,NULL,3,Kind of a Couple,C,1_3_C,C. No games. No signals. Just real.,"C. You feel safest with people who are real. No status tricks, no disappearing acts—just honesty and consistency.",Games aren’t romantic. Clarity is. Keep choosing people who show up clearly—your peace is worth more than their mystery.,Emotional Safety,,1
13,1,1_3,3,What makes you feel safe with someone?,TRUE,NULL,3,Kind of a Couple,OTHER,1_3_OTHER,Also this:,,,,,1
14,1,1_4,4,"Which meet-cute(s) would you totally fall for?
(Pick all that make your heart do the thing 💘)",TRUE,,1,Do They Like Me?,A,1_4_A,A. Reaching for the same book at a bookstore,,,,,1
15,1,1_4,4,What’s your ideal meet-cute?,TRUE,NULL,1,Do They Like Me?,B,1_4_B,"B. Bumping into each other at a concert, literally",,,,,1
16,1,1_4,4,What’s your ideal meet-cute?,TRUE,NULL,1,Do They Like Me?,C,1_4_C,C. Wrong text that turns into a real convo,,,,,1
17,1,1_4,4,What’s your ideal meet-cute?,TRUE,NULL,1,Do They Like Me?,D,1_4_D,D. Assigned to sit next to each other in class,,,,,1
18,1,1_4,4,What’s your ideal meet-cute?,TRUE,NULL,1,Do They Like Me?,OTHER,1_4_OTHER,Write your own plot twist.,,,,,1
19,1,1_5,5,"Real love isn’t about perfect.
It’s about the little weird things that make someone feel weirdly right.
What’s your crush ick you secretly find cute?",TRUE,,3,Kind of a Couple,A,1_5_A,A. Laughs at their own jokes,,,,,1
20,1,1_5,5,What’s your crush ick you secretly find cute?,TRUE,NULL,3,Kind of a Couple,B,1_5_B,B. Gets weird saying hi. Still tries.,,,,,1
21,1,1_5,5,What’s your crush ick you secretly find cute?,TRUE,NULL,3,Kind of a Couple,C,1_5_C,C. Awful at texting. Sends novels out of nowhere.,,,,,1
22,1,1_5,5,What’s your crush ick you secretly find cute?,TRUE,NULL,3,Kind of a Couple,D,1_5_D,D. That one hoodie? Always. Still cute.,,,,,1
23,1,1_5,5,What’s your crush ick you secretly find cute?,TRUE,NULL,3,Kind of a Couple,OTHER,1_5_OTHER,Else,,,,,1
24,1,1_6,6,What do you imagine when you think about your first love?,TRUE,,1,Do They Like Me?,A,1_6_A,A. All touch. All spark. Like we don’t need anyone else.,A. You’re not looking for ordinary. You want a love that stirs something deep—something you can feel in both your body and your heart.,"Big feelings don’t make you naive. Just make sure the closeness feels safe, mutual, and kind. Real love doesn’t just feel intense—it feels good after the moment passes, too.",,,1
25,1,1_6,6,What do you imagine when you think about your first love?,TRUE,NULL,1,Do They Like Me?,B,1_6_B,B. Someone who sees me. We both grow.,"B. You’re imagining love as partnership. A steady bond where you’re seen, challenged, and supported. You want something real—not just romantic.","That kind of love takes time, trust, and truth. Don’t rush it. Keep growing into yourself—and you’ll attract someone who’s doing the same.",Romantic Expectations,,1
26,1,1_6,6,What do you imagine when you think about your first love?,TRUE,NULL,1,Do They Like Me?,C,1_6_C,C. A sign that I’m lovable—something to show others I’m not left out.,C. You’re not just dreaming of someone—you’re dreaming of being chosen. Of not being the only one without a hand to hold.,"It’s human to want proof that you matter. But love isn’t a trophy. The more you believe you’re enough without it, the more likely it finds you for the right reasons.",Romantic Expectations,,1
27,1,1_6,6,What do you imagine when you think about your first love?,TRUE,NULL,1,Do They Like Me?,D,1_6_D,"D. Freedom from my family—a way to feel older, more in control of my life. ","D. For you, love feels like a ticket out. Not just romance—but independence, a chance to start living on your terms.","Wanting freedom is real—and love can feel like a way out. But if you never had space to find your voice at home, a relationship won’t magically give it to you. Build that voice now, so love adds to your life, not replaces it.",Romantic Expectations,,1
28,1,1_6,6,What do you imagine when you think about your first love?,TRUE,NULL,1,Do They Like Me?,OTHER,1_6_OTHER,"None of these, but something.
",,,,,1
29,1,1_7,7,Which line from a rom-com would you want someone to say to you?,TRUE,,1,Do They Like Me?,A,1_7_A,A. “You make me want to be better.”,,,,,1
30,1,1_7,7,Which line from a rom-com would you want someone to say to you?,TRUE,NULL,1,Do They Like Me?,B,1_7_B,B. “It’s always been you.”,,,,,1
31,1,1_7,7,Which line from a rom-com would you want someone to say to you?,TRUE,NULL,1,Do They Like Me?,C,1_7_C,C. “I didn’t know what home felt like until you.”,,,,,1
32,1,1_7,7,Which line from a rom-com would you want someone to say to you?,TRUE,NULL,1,Do They Like Me?,D,1_7_D,"D. “I love you, just as you are.”",,,,,1
33,1,1_7,7,Which line from a rom-com would you want someone to say to you?,TRUE,NULL,1,Do They Like Me?,OTHER,1_7_OTHER,Other,,,,,1
34,1,1_8,8,How do you act when your crush is nearby?,TRUE,,1,Do They Like Me?,A,1_8_A,"A. I avoid eye contact, freeze up, or pretend I don’t notice them.",A. You’re protecting your heart—and that makes sense. Sometimes just surviving the moment feels like a win.,"You’re not wrong for playing it safe. But even a small step—a glance, a smile—can start to make space for something better.",Romantic Reactions,,1
