id,question_code,question_number,question_text,category_id,category_name,is_start_question,parent_question_id,check_box,max_select,block_number,block_text,color_code,version
1,1_1,1,"“Status: undefined, but not unloved.”
Not all love lives are loud.
Some are still forming, healing, daydreaming, or blooming when no one’s watching.
What’s yours trying to say right now?

If your love life had a status update, what would it say?",1,Love,,,FALSE,1,1,Do They Like Me?,#FFE066,1
2,1_2,2,What kind of love do you believe in?,1,Love,,,FALSE,1,2,"Small Moves, Big Feels
[playlist:Love]",#D6C7E7,1
3,1_3,3,"Real safety isn’t just about avoiding harm—it’s about feeling free to be yourself.
You deserve people who don’t just like you—but protect your peace.
What makes you feel safe with someone?",1,Love,,,TRUE,10,3,Kind of a Couple,#98FB98,1
4,1_4,4,"Which meet-cute(s) would you totally fall for?
(Pick all that make your heart do the thing 💘)",1,Love,,,TRUE,10,1,Do They Like Me?,#FFAD84,1
5,1_5,5,"Real love isn’t about perfect.
It’s about the little weird things that make someone feel weirdly right.
What’s your crush ick you secretly find cute?",1,Love,,,TRUE,10,3,Kind of a Couple,#ADD8E6,1
6,1_6,6,What do you imagine when you think about your first love?,1,Love,,,TRUE,10,1,Do They Like Me?,#D6C7E7,1
7,1_7,7,Which line from a rom-com would you want someone to say to you?,1,Love,,,TRUE,10,1,Do They Like Me?,#F08080,1
8,1_8,8,How do you act when your crush is nearby?,1,Love,,,TRUE,10,1,Do They Like Me?,#ADD8E6,1
9,1_9,9,How do you show someone you like them? [playlist:Love],1,Love,,,TRUE,10,2,"Small Moves, Big Feels
🎵[playlist:Love]",#FFE066,1
10,1_10,10,What do you wish someone you like understood about you?,1,Love,,,TRUE,10,2,"Small Moves, Big Feels
🎵[playlist:Love]",#D6C7E7,1
11,1_11,11,"What makes you feel uneasy in a relationship—even if it’s not “bad” on paper?
You’re not asking for too much. You’re just done playing chill when you need real.",1,Love,,,TRUE,10,3,Kind of a Couple,#F08080,1
12,1_12,12,"Heartbreak doesn’t follow rules. Whether you cried, created, or just kept going—you showed up for yourself. And that matters.
When your crush likes someone else",1,Love,,,TRUE,10,2,"Small Moves, Big Feels
🎵[playlist:Love]",#D6C7E7,1
13,1_13,13,"Moving on isn’t one path—it’s a mess of thoughts, feelings, masks, and moments.
You don’t need to do it perfectly. Just honestly.

What made your old love finally feel… less loud?",1,Love,,,TRUE,10,5," The Sky That Stayed
🎵[playlist:Breakup]",#ADD8E6,1
14,1_14,14,"If someone likes you but you don’t feel the same, what do you do?",1,Love,,,TRUE,10,2,"Small Moves, Big Feels
🎵[playlist:Love]",#98FB98,1
15,1_15,15,"If someone told you 'I love you' way too early, what would you do?",1,Love,,,TRUE,10,1,Do They Like Me?,#B0C4DE,1
