song_id,song_title,mood_tag,playlist_tag,lyrics_snippet,featured,featured_order,file_url
STR_01,Spark Still Rise (Male Rap),"bitter, beieving","Spiral, Believe, Lowkey","You ain’t gotta fake the fire. 
Even sparks can light the sky.",t,1,https://myworld-soundtrack.s3.us-east-2.amazonaws.com/myworld_soundtrack/sparks-still-rise.mp3
STR_02,Spark Still Rise (Female Rap),"bitter, beieving","Spiral, Believe, Lowkey","You ain’t gotta fake the fire. 
Even sparks can light the sky.",t,2,https://myworld-soundtrack.s3.us-east-2.amazonaws.com/myworld_soundtrack/sparks-still-rise+Girl.mp3
DP_01,Daring Path (Female V1),believing,Believe,"I don’t need small mirrors to shine. 
I don’t need blind eyes to define.",t,3,https://myworld-soundtrack.s3.us-east-2.amazonaws.com/myworld_soundtrack/daring+path.mp3
DP_02,Daring Path (Female V2),believing,Believe,"I don’t need small mirrors to shine. 
I don’t need blind eyes to define.",t,4,https://myworld-soundtrack.s3.us-east-2.amazonaws.com/myworld_soundtrack/daring+path+2.mp3
DBNF_01,Deleted But Not Forgoten (Female),"bitter, believing","Hurt, Believe, Spiral","Delete the post, 
But Not Forgotten. 
I’m still here, 
still me, still real.",t,5,https://myworld-soundtrack.s3.us-east-2.amazonaws.com/myworld_soundtrack/deleted%2C-but-not-forgotten.mp3
LRDD_01,"Left on Read, Dragged in DMs (Female)","bitter, believing","Hurt, Believe, Spiral","No reply, just side-eyes. 
But trust—I’m louder than your will.",t,6,https://myworld-soundtrack.s3.us-east-2.amazonaws.com/myworld_soundtrack/Left+on+Read%2C+Dragged+in+DMs.mp3
PINI_01,"Photos I'm Not In (Male, Cinematic Rap)","bitter, believing","Hurt, Believe, Spiral","Photos I’m not in, 
don’t dim my light.",t,7,https://myworld-soundtrack.s3.us-east-2.amazonaws.com/myworld_soundtrack/Photos+I%E2%80%99m+Not+In.mp3
ISWIA_01,"I Said What I Am (Female, Hip-Hop) ","bitter, believing","Hurt, Believe, Spiral","I know what I’m building. 
Even when they tear me down",t,8,https://myworld-soundtrack.s3.us-east-2.amazonaws.com/myworld_soundtrack/I+Said+What+I+Am+(Hip-Hop)+(Edit).mp3
IWOTM_01,I want one that's mine (Male),"soft, believing","Spiral, Believe, Lowkey","Is it peace or just pretend? 
I’m tired of borrowing moods",t,9,https://myworld-soundtrack.s3.us-east-2.amazonaws.com/myworld_soundtrack/i-want-one-that%E2%80%99s-mine..mp3
IWMG_01,I wasn't mean to go (Female),"soft, believing","Hurt, Spiral","I wasn’t left out—I feel right
Not every room deserves my light",t,10,https://myworld-soundtrack.s3.us-east-2.amazonaws.com/myworld_soundtrack/I+Wasn%E2%80%99t+Meant+to+Go.mp3
STS_M,Sky That Stayed (Male) ,"believing, inspiring","Hurt, Believe, Breakup","You were the storm that tore through fast. 
But I’m the sky that always lasts. 
Still wide, still blue, still brave, still bright. 
I carry calm, I hold my light.",t,11,https://myworld-soundtrack.s3.us-east-2.amazonaws.com/myworld_soundtrack/Sky+That+Stayed+(Male).mp3
STS_F,Sky That Stayed (Female) ,"believing, inspiring","Hurt, Believe, Breakup","You were the storm that tore through fast. 
But I’m the sky that always lasts. 
Still wide, still blue, still brave, still bright. 
I carry calm, I hold my light.",t,12,https://myworld-soundtrack.s3.us-east-2.amazonaws.com/myworld_soundtrack/Sky+That+Stayed+(Female).mp3
MVMW_01,My Voice at My World My Say,"soft, believing","Spiral, Believe","Somewhere, someone’s feeling just like this",t,13,https://myworld-soundtrack.s3.us-east-2.amazonaws.com/myworld_soundtrack/my-voice.mp3
THM_1,Theme Song (Male Inspiring Rap),inspiring,Theme_Song,"My World, My Say",t,14,https://myworld-soundtrack.s3.us-east-2.amazonaws.com/myworld_soundtrack/Theme+(Male+Inspiring+Rap).mp3
THM_2,Theme Song (Girl HipHop),spicy,Theme_Song,"My World, My Say",t,15,https://myworld-soundtrack.s3.us-east-2.amazonaws.com/myworld_soundtrack/Theme+(Girl%2C+HipHop).mp3
THM_3,Theme Song (Girl Rap),rap,Theme_Song,"My World, My Say",t,16,https://myworld-soundtrack.s3.us-east-2.amazonaws.com/myworld_soundtrack/Theme+(+Girl+Inspiring+Rap).mp3
THM_4,Theme Song (Children Choir),inspiring,Theme_Song,"My World, My Say",t,17,https://myworld-soundtrack.s3.us-east-2.amazonaws.com/myworld_soundtrack/Theme+(Children+Choir).mp3
THM_5,Theme Song (Girl HipHop),inspiring,Theme_Song,"My World, My Say",t,18,https://myworld-soundtrack.s3.us-east-2.amazonaws.com/myworld_soundtrack/Theme+(Girl+HipHop+2).mp3
AI_RAP_DUET,We Name the Goal (Duet Rap),"believing, inspiring","Theme_Song, AI_and_My_Future",We shape the world by what we say.,t,19,https://myworld-soundtrack.s3.us-east-2.amazonaws.com/myworld_soundtrack/We+Name+the+Goal+(Two+Voice).mp3
AI_RAP,We Name the Goal (Rap),"believing, inspiring","Theme_Song, AI_and_My_Future",We shape the world by what we say.,t,20,https://myworld-soundtrack.s3.us-east-2.amazonaws.com/myworld_soundtrack/We+Name+the+Goal.mp3
AI_RA_REG,We Name the Goal (Reggaeton),"believing, inspiring","Theme_Song, AI_and_My_Future","Mi voz, mi mundo, that’s my role",t,21,https://myworld-soundtrack.s3.us-east-2.amazonaws.com/myworld_soundtrack/We+Name+the+Goal+(Female+Reggaeton).mp3
IIC_CFS_M,It's Coming (Classroom Fart Song) (Male),"Chaos, chaos","Chaos, Chaos","I shift, I cough, 
I shuffle my shoe…
But the fart in my gut says: 
“I’m coming through!",t,22,https://myworld-soundtrack.s3.us-east-2.amazonaws.com/myworld_soundtrack/It%E2%80%99s+Coming+(Classroom+Fart+Song+)+(Male).mp3
IIC_CFS_F,It's Coming (Classroom Fart Song) (Female),"Chaos, chaos","Chaos, Chaos","I shift, I cough, 
I shuffle my shoe…
But the fart in my gut says: 
“I’m coming through!",t,23,https://myworld-soundtrack.s3.us-east-2.amazonaws.com/myworld_soundtrack/It%E2%80%99s+Coming+(Classroom+Fart+Song)+(Female).mp3
SSolo_M,Stomach Solo (Male),Chaos,"Chaos, Chaos","They say follow your gut
—mine grabs the mic.",t,24,https://myworld-soundtrack.s3.us-east-2.amazonaws.com/myworld_soundtrack/Stomach+Solo+(Edit).mp3
TMTSA_M,Tell Me That Story Again,"love, lowkey","Love, Lowkey","Just learning the map that leads to you. 
No need to impress, no need to bend
—Just tell me that story again.",t,25,https://myworld-soundtrack.s3.us-east-2.amazonaws.com/myworld_soundtrack/Tell+Me+That+Story+Again.mp3
CIMH,Cool in My Head,"Chaos, love","Love, Chaos","I planned the whole thing in my head. 
I’d say “hey” real chill, then nod instead.",t,26,https://myworld-soundtrack.s3.us-east-2.amazonaws.com/myworld_soundtrack/Cool+in+My+Head.mp3
LYAN,Left You a Note (Male),"love, lowkey","Love, Lowkey","I left you a note, 
didn’t sign my name. 
But it’s tucked in your book, 
like a gentle flame. 
It says “You’re kind” 
and “I see you there”",t,27,https://myworld-soundtrack.s3.us-east-2.amazonaws.com/myworld_soundtrack/Left+You+a+Note.mp3
SYAS,Save You a Seat,"Chaos, love","Love, Chaos","You dropped your pen, 
I gave it back. 
Said, “No big deal,”
 then overreacted. 
Inside I’m screaming 
“That was smooth…”. 
But outside I’m just me + you",t,28,https://myworld-soundtrack.s3.us-east-2.amazonaws.com/myworld_soundtrack/Saved+You+a+Seat.mp3
YAAW_M,You’re already whole,love,Love,"I don’t need flowers or big displays. 
Just look at me that certain way. 
I show my care in lowercase. 
Like staying late, like knowing your pace.",t,29,https://myworld-soundtrack.s3.us-east-2.amazonaws.com/myworld_soundtrack/You%E2%80%99re+already+whole.mp3
YEAH_F,"Yeah, I Noticed (POV_ The girl who sees through the act)",love,Love,"You don’t have to say you’re brave. 
I already saw you try. 
It’s not the words that made me smile
—It’s the trying.",t,30,https://myworld-soundtrack.s3.us-east-2.amazonaws.com/myworld_soundtrack/Yeah%2C+I+Noticed+(POV_+The+girl+who+sees+through+the+act)+(1).mp3
GG_1,Glossed & Glowing,pinky,Pinky,"Glossed and glowing, 
heart still knowing: 
You don’t need loud to be overflowing",t,31,https://myworld-soundtrack.s3.us-east-2.amazonaws.com/myworld_soundtrack/Glossed+%26+Glowing.mp3
GG_2,Glossed & Glowing (2),pinky,Pinky,"Glossed and glowing,
heart still knowing: 
You don’t need loud to be overflowing",t,32,https://myworld-soundtrack.s3.us-east-2.amazonaws.com/myworld_soundtrack/Glossed+%26+Glowing+(2).mp3
SSKY_TB,Same Sky (Rap Teen Boy Side),family,Family,"I don’t need you to fix the rain
Just stay close when I’m hiding pain",t,33,https://myworld-soundtrack.s3.us-east-2.amazonaws.com/myworld_soundtrack/Same+Sky+(Rap+Teen+Side).mp3
